0.0,0,0,0,-1,0,-1,-5,0,0,0,0
0.25,0,0,0,-1,0,-1,-2,0,0,0,0
0.5,0,0,0,-1,0,-1,-5,0,0,0,0
0.75,0,0,0,-1,0,-1,-5,0,0,0,0
1.0,0,0,0,-1,0,-1,-5,0,0,0,0
1.25,0,0,0,-1,0,0,-5,0,0,0,0
1.5,0,0,0,-1,0,0,-5,0,0,0,0
1.75,0,0,0,-1,0,0,-5,0,0,0,0
2.0,0,0,0,-1,0,0,-5,0,0,0,0
2.25,0,0,0,-1,0,0,-5,0,-1,0,0
2.5,0,0,0,-1,0,0,-5,0,-1,0,0
2.75,100,0,178,31,162,0,28,1,211,-17,130
3.0,102,0,638,-20,1388,0,1445,11,756,-24,142
3.25,57,0,510,-12,1712,-2,1716,16,600,-12,78
3.5,18,0,262,-17,1326,-1,1360,18,289,-23,0
3.75,-24,0,-239,-17,-120,-12,9,17,-177,-17,-35
4.0,-10,0,-121,27,332,-31,2,-16,-174,-24,-20
4.25,-8,-1,-23,-31,488,-18,582,27,70,-11,-23
4.5,-14,-2,-120,10,363,-19,356,-17,-116,-18,-23
4.75,-105,-2,-29,-21,719,-19,887,23,-12,-25,-108
5.0,-19,0,-131,11,337,-24,399,-13,-62,-7,-119
5.25,-133,13,-37,23,384,-12,429,-11,-20,-23,-137
5.5,-122,12,-50,24,382,-14,430,-13,-20,-24,-136
5.75,-127,14,-44,23,381,-15,431,-14,-20,-15,-132
6.0,-122,14,-46,22,381,-14,432,-14,-20,-17,-130
6.25,-119,13,-50,21,379,-14,432,-13,-20,-13,-134
6.5,-115,12,-50,24,380,-14,432,-11,-20,-22,-134
6.75,-131,0,-63,25,378,-2,429,-11,-18,-14,-138
7.0,-129,0,-67,25,378,-2,433,-13,-18,-16,-135
7.25,-127,0,-61,26,377,-1,433,-7,-19,-16,-138
7.5,-132,0,-63,23,381,-4,431,-6,-19,-25,-137
7.75,-129,0,-58,25,382,-3,433,-8,-19,-13,-136
8.0,-132,0,-69,26,382,-4,434,-10,-19,-23,-135
8.25,-127,0,-66,26,378,-6,434,-8,-21,-27,-136
8.5,-124,0,-63,26,377,-2,431,-6,-18,-21,-136
8.75,-132,0,-67,25,378,-1,434,-7,-20,-24,-136
9.0,-123,0,-65,26,378,-5,434,-5,-20,-17,-135
9.25,-16,0,-427,13,83,106,117,-1,-342,-12,10
9.5,-12,0,-130,13,313,86,321,-11,-148,-13,-15
9.75,-9,0,-51,-19,422,88,445,24,-61,-11,-7
10.0,-8,0,-77,14,414,91,440,-17,-65,-22,-12
10.25,-8,0,-100,-15,406,89,433,8,-72,-16,-12
10.5,-12,0,-93,-16,407,87,440,5,-66,-12,-14
10.75,-10,0,-88,-15,421,91,440,8,-66,-14,-12
11.0,-37,0,-119,-10,397,56,400,0,-99,-18,-39
11.25,-103,0,-261,-16,93,-61,98,-5,-262,-14,-105
11.5,-52,0,124,-1,578,-62,598,-1,124,-13,-46
11.75,-21,0,77,14,312,-11,233,-3,38,-1,-23
12.0,4,0,-17,30,-192,-1,-108,12,-89,-15,16
12.25,-147,0,-33,24,-267,-1,-242,0,-94,-24,6
12.5,-147,0,-34,27,-264,-1,-224,0,-93,-15,5
12.75,-145,0,-34,29,-254,-1,-225,1,-86,-19,12
13.0,-142,0,-25,27,-240,-1,-219,3,-86,-23,13
13.25,-149,0,-28,26,-256,-1,-220,1,-78,-16,16
13.5,-149,1,-31,23,-242,-1,-212,2,-80,-16,13
13.75,-148,1,-27,26,-246,-1,-213,0,-83,-13,15
14.0,-149,0,-24,24,-246,-1,-202,1,-77,-15,10
14.25,-146,1,-26,26,-249,-1,-199,1,-69,-15,12
