timestamp,0_temp,1_temp,2_temp,3_temp,4_temp,5_temp,6_temp,7_temp,8_temp,9_temp,10_temp
0.0,26,26,26,26,27,27,27,26,26,26,26
0.25,26,26,26,26,27,27,27,26,26,26,26
0.5,26,26,26,26,27,27,27,26,26,26,26
0.75,26,26,26,26,27,27,27,26,26,26,26
1.0,26,26,26,26,27,27,27,26,26,26,26
1.25,26,26,26,26,27,27,27,26,26,26,26
1.5,26,26,26,26,27,27,27,26,26,26,26
1.75,26,26,27,26,27,27,27,26,26,26,26
2.0,26,26,27,26,27,27,27,26,26,26,26
2.25,26,26,27,26,27,27,26,26,26,26,26
2.5,26,26,27,26,27,27,26,26,26,26,26
2.75,25,26,27,26,27,27,26,26,25,27,27
3.0,26,26,27,25,27,27,26,26,26,26,26
3.25,26,26,26,26,27,27,26,25,26,26,27
3.5,26,26,27,25,27,27,26,26,25,27,27
3.75,26,26,27,26,27,27,27,26,26,26,26
4.0,26,26,27,26,27,27,26,26,26,27,27
4.25,26,27,27,26,28,26,26,26,26,27,27
4.5,26,27,27,26,28,26,27,26,26,27,26
4.75,26,25,26,26,27,27,27,26,26,27,27
5.0,26,26,26,26,27,27,27,26,26,26,26
5.25,25,27,26,26,27,26,27,26,26,27,27
5.5,26,26,26,26,27,27,27,26,26,27,26
5.75,26,26,26,26,28,26,27,26,24,26,26
6.0,26,26,26,26,28,27,27,26,26,26,26
6.25,25,26,26,26,27,27,27,26,26,27,26
6.5,26,26,27,26,27,27,27,26,26,26,27
6.75,26,26,27,26,29,27,27,26,26,27,27
7.0,26,26,27,26,28,27,28,26,26,27,27
7.25,26,26,27,26,28,27,27,26,26,27,26
7.5,26,26,26,26,28,27,27,26,26,27,27
7.75,26,26,27,25,27,27,27,26,26,27,26
8.0,26,26,27,26,28,27,27,26,26,27,26
8.25,26,27,27,26,27,27,27,26,26,27,26
8.5,26,27,26,26,27,27,27,26,26,26,27
8.75,26,26,26,26,28,27,27,26,26,27,27
9.0,26,26,27,26,27,28,27,26,26,26,26
9.25,26,26,27,26,28,27,27,26,26,26,26
9.5,26,26,27,26,28,26,28,26,26,27,27
9.75,26,26,27,26,28,27,27,26,26,27,27
10.0,26,26,27,26,28,27,28,26,26,26,26
10.25,26,26,26,26,28,27,28,26,26,26,27
10.5,27,26,25,26,28,26,28,26,26,26,26
10.75,26,26,27,26,28,26,27,26,26,26,26
11.0,26,27,26,26,27,26,28,26,26,27,27
11.25,26,27,27,26,28,27,27,26,27,27,27
11.5,26,27,27,26,28,27,27,26,26,27,26
11.75,26,27,27,26,27,27,27,26,26,27,26
12.0,27,27,27,25,28,27,28,26,26,27,26
12.25,27,27,27,26,28,27,27,26,26,27,26
12.5,26,27,26,26,28,27,27,26,26,26,26
12.75,26,26,26,26,28,27,28,26,26,26,26
13.0,26,26,27,26,28,27,28,26,26,26,26
13.25,26,26,27,26,28,27,28,26,26,26,26
13.5,26,26,26,26,28,27,28,26,26,26,26
13.75,27,26,26,26,28,27,27,26,26,27,27
14.0,27,26,27,26,28,27,27,26,26,26,26
